placa,empresa,resultado,status,validade,data_validade,data_execucao
AWO3C24,BMG TRANSPORTES,VER DETALHES,Aprovado,103,23-07-2025,25-03-2025
AXC0144,BMG TRANSPORTES,VER DETALHES,Aprovado,29,10-05-2025,10-01-2025
AXC0155,BMG TRANSPORTES,VER DETALHES,Aprovado,84,05-07-2025,07-03-2025
AXC0224,BMG TRANSPORTES,VER DETALHES,Aprovado,95,16-07-2025,18-03-2025
AXI1B71,BMG TRANSPORTES,VER DETALHES,Aprovado,31,13-05-2025,13-01-2025
BAY3J51,BMG TRANSPORTES,VER DETALHES,Aprovado,111,01-08-2025,03-04-2025
BAY3J53,BMG TRANSPORTES,VER DETALHES,Aprovado,103,23-07-2025,25-03-2025
BAY3J55,BMG TRANSPORTES,VER DETALHES,Aprovado,21,03-05-2025,03-01-2025
BAY5I77,BMG TRANSPORTES,VER DETALHES,Aprovado,67,17-06-2025,17-02-2025
BAY5I78,BMG TRANSPORTES,VER DETALHES,Aprovado,43,24-05-2025,24-01-2025
BCA6A21,BMG TRANSPORTES,VER DETALHES,Aprovado,32,13-05-2025,13-01-2025
BCA6A24,BMG TRANSPORTES,VER DETALHES,Aprovado,91,11-07-2025,13-03-2025
BCC8B90,BMG TRANSPORTES,VER DETALHES,Reprovado,,,07-04-2025
BCO8G59,BMG TRANSPORTES,VER DETALHES,Aprovado,53,04-06-2025,04-02-2025
BCU6G75,BMG TRANSPORTES,VER DETALHES,Aprovado,110,30-07-2025,01-04-2025
BDC2E32,BMG TRANSPORTES,VER DETALHES,Aprovado,84,05-07-2025,07-03-2025
BDM1H92,BMG TRANSPORTES,VER DETALHES,Aprovado,32,13-05-2025,13-01-2025
BDM1I30,BMG TRANSPORTES,VER DETALHES,Aprovado,14,26-04-2025,27-12-2024
BDM1I42,BMG TRANSPORTES,VER DETALHES,Aprovado,113,02-08-2025,04-04-2025
BDM1I45,BMG TRANSPORTES,VER DETALHES,Aprovado,05,16-04-2025,17-12-2024
BDM1I48,BMG TRANSPORTES,VER DETALHES,Aprovado,06,18-04-2025,19-12-2024
BDO0H53,BMG TRANSPORTES,VER DETALHES,Aprovado,45,27-05-2025,27-01-2025
BDO0H54,BMG TRANSPORTES,VER DETALHES,Aprovado,88,08-07-2025,10-03-2025
BDO0H58,BMG TRANSPORTES,VER DETALHES,Aprovado,116,06-08-2025,08-04-2025
BDO0H59,BMG TRANSPORTES,VER DETALHES,Aprovado,27,08-05-2025,08-01-2025
BDQ6E82,BMG TRANSPORTES,VER DETALHES,Reprovado,,,10-04-2025
BDS3E11,BMG TRANSPORTES,VER DETALHES,Aprovado,117,06-08-2025,08-04-2025
BDU9H31,BMG TRANSPORTES,VER DETALHES,Aprovado,102,23-07-2025,25-03-2025
BDU9H33,BMG TRANSPORTES,VER DETALHES,Aprovado,80,01-07-2025,03-03-2025
BDU9H34,BMG TRANSPORTES,VER DETALHES,Aprovado,99,19-07-2025,21-03-2025
BDU9H35,BMG TRANSPORTES,VER DETALHES,Aprovado,116,05-08-2025,07-04-2025
BDU9H36,BMG TRANSPORTES,VER DETALHES,Aprovado,89,09-07-2025,11-03-2025
BDU9H37,BMG TRANSPORTES,VER DETALHES,Aprovado,91,12-07-2025,14-03-2025
BDU9H38,BMG TRANSPORTES,VER DETALHES,Reprovado,,,13-03-2025
HRO4610,BMG TRANSPORTES,VER DETALHES,Aprovado,05,16-04-2025,17-12-2024
HRO4G13,BMG TRANSPORTES,VER DETALHES,Aprovado,34,15-05-2025,15-01-2025
HRO4G21,BMG TRANSPORTES,VER DETALHES,Reprovado,,,14-03-2025
MHW8A33,BMG TRANSPORTES,VER DETALHES,Aprovado,68,18-06-2025,18-02-2025
ONZ5G06,BMG TRANSPORTES,VER DETALHES,Aprovado,91,12-07-2025,14-03-2025
QRK0F43,BMG TRANSPORTES,VER DETALHES,Reprovado,,,07-04-2025
QRK3J52,BMG TRANSPORTES,VER DETALHES,Reprovado,,,03-04-2025
QRK3J90,BMG TRANSPORTES,VER DETALHES,Aprovado,04,16-04-2025,17-12-2024
QRK3J98,BMG TRANSPORTES,VER DETALHES,Aprovado,43,24-05-2025,24-01-2025
QRK4A05,BMG TRANSPORTES,VER DETALHES,Reprovado,,,03-01-2025
QRK4A07,BMG TRANSPORTES,VER DETALHES,Aprovado,28,09-05-2025,09-01-2025
RAA1E48,BMG TRANSPORTES,VER DETALHES,Reprovado,,,27-03-2025
RHF4G87,BMG TRANSPORTES,VER DETALHES,Aprovado,34,16-05-2025,16-01-2025
RHJ1D76,BMG TRANSPORTES,VER DETALHES,Aprovado,22,03-05-2025,03-01-2025
RHJ1D78,BMG TRANSPORTES,VER DETALHES,Aprovado,74,24-06-2025,24-02-2025
RHJ5E91,BMG TRANSPORTES,VER DETALHES,Aprovado,116,06-08-2025,08-04-2025
RHJ5E92,BMG TRANSPORTES,VER DETALHES,Aprovado,112,01-08-2025,03-04-2025
RHY4A23,BMG TRANSPORTES,VER DETALHES,Aprovado,05,17-04-2025,18-12-2024
RHZ1C01,BMG TRANSPORTES,VER DETALHES,Aprovado,68,18-06-2025,18-02-2025
RWJ9J53,BMG TRANSPORTES,VER DETALHES,Aprovado,92,12-07-2025,14-03-2025
RWJ9J56,BMG TRANSPORTES,VER DETALHES,Aprovado,22,03-05-2025,03-01-2025
RYC0E35,BMG TRANSPORTES,VER DETALHES,Aprovado,95,16-07-2025,18-03-2025
RYC0E65,BMG TRANSPORTES,VER DETALHES,Aprovado,91,12-07-2025,14-03-2025
RYC0E85,BMG TRANSPORTES,VER DETALHES,Aprovado,01,12-04-2025,13-12-2024
RYU1J46,BMG TRANSPORTES,VER DETALHES,Reprovado,,,10-03-2025
RYU2A36,BMG TRANSPORTES,VER DETALHES,Aprovado,43,24-05-2025,24-01-2025
RYU2A66,BMG TRANSPORTES,VER DETALHES,Aprovado,89,09-07-2025,11-03-2025
RYU2A76,BMG TRANSPORTES,VER DETALHES,Aprovado,90,11-07-2025,13-03-2025
RYU2A86,BMG TRANSPORTES,VER DETALHES,Aprovado,102,22-07-2025,24-03-2025
RYU2B16,BMG TRANSPORTES,VER DETALHES,Reprovado,,,08-04-2025
RYU2B36,BMG TRANSPORTES,VER DETALHES,Aprovado,97,18-07-2025,20-03-2025
RYU2B66,BMG TRANSPORTES,VER DETALHES,Reprovado,,,08-04-2025
RYU2B76,BMG TRANSPORTES,VER DETALHES,Aprovado,115,05-08-2025,07-04-2025
RYU2B86,BMG TRANSPORTES,VER DETALHES,Aprovado,53,03-06-2025,03-02-2025
RYU2B96,BMG TRANSPORTES,VER DETALHES,Aprovado,111,31-07-2025,02-04-2025
RYU2C06,BMG TRANSPORTES,VER DETALHES,Aprovado,55,05-06-2025,05-02-2025
RYU2C36,BMG TRANSPORTES,VER DETALHES,Aprovado,53,03-06-2025,03-02-2025
SED4I91,BMG TRANSPORTES,VER DETALHES,Aprovado,84,04-07-2025,06-03-2025
SEH8F10,BMG TRANSPORTES,VER DETALHES,Aprovado,84,04-07-2025,06-03-2025
SEI2B81,BMG TRANSPORTES,VER DETALHES,Aprovado,90,10-07-2025,12-03-2025
SEI2D46,BMG TRANSPORTES,VER DETALHES,Aprovado,108,29-07-2025,31-03-2025
SEM4G41,BMG TRANSPORTES,VER DETALHES,Aprovado,92,12-07-2025,14-03-2025
SEM5C78,BMG TRANSPORTES,VER DETALHES,Aprovado,91,11-07-2025,13-03-2025
SLW0A32,BMG TRANSPORTES,VER DETALHES,Aprovado,36,17-05-2025,17-01-2025
SLW0A33,BMG TRANSPORTES,VER DETALHES,Aprovado,21,02-05-2025,02-01-2025
SLW0A38,BMG TRANSPORTES,VER DETALHES,Aprovado,101,22-07-2025,24-03-2025
SLW0A42,BMG TRANSPORTES,VER DETALHES,Aprovado,49,30-05-2025,30-01-2025
SLW0A45,BMG TRANSPORTES,VER DETALHES,Aprovado,42,24-05-2025,24-01-2025
